Proposed Action Name,Sample API Call w mandatory params,Sample CURL Call with manadatory params,Sample API Calls w optional params,Sample CURL Call with optional params,note
getSupportedChains,https://api-v1.mymerlin.io/api/merlin/public/chains,#N/A,,,
getAdvTxsSupportedChains,https://api-v1.mymerlin.io/api/merlin/public/v2/userTx/tx/supportedChains,#N/A,,,
getSupportedProtocols,https://api-v1.mymerlin.io/api/merlin/public/protocols,#N/A,,,
getUserDeFiPositionsWithPnl,https://api-v1.mymerlin.io/api/merlin/public/userDeFiPositionsWithPnl/all/0x3764D79db51726E900a1380055F469eB6e2a7fD3,#N/A,https://api-v1.mymerlin.io/api/merlin/public/userDeFiPositionsWithPnl/all/0x3764D79db51726E900a1380055F469eB6e2a7fD3?timestamp=1661753926,#N/A,
getUserDeFiPositions,https://api-v1.mymerlin.io/api/merlin/public/userDeFiPositions/all/0x09CF915e195aF33FA7B932C253352Ae9FBdB0106,#N/A,,,
getUserDeFiPositionsWithPnlByChain,https://api-v1.mymerlin.io/api/merlin/public/userDeFiPositionsWithPnl/0x3764D79db51726E900a1380055F469eB6e2a7fD3?chain=eth,#N/A,https://api-v1.mymerlin.io/api/merlin/public/userDeFiPositionsWithPnl/0x3764D79db51726E900a1380055F469eB6e2a7fD3?timestamp=1661753926&chain=eth,#N/A,
getUserDeFiPositionsByChain,https://api-v1.mymerlin.io/api/merlin/public/userDeFiPositions/0x09CF915e195aF33FA7B932C253352Ae9FBdB0106?chain=arb,#N/A,,,
getUserDeFiPositionsByChains,"https://api-v1.mymerlin.io/api/merlin/public/userDeFiPositionsByChains/0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50?chains=avax,arb",#N/A,,,
getUserDeFiPositionsWithPnlByProtocol,https://api-v1.mymerlin.io/api/merlin/public/userDeFiPositionsWithPnl/protocol/0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50?chain=eth&protocol=compound,#N/A,,,
getUserDeFiPositionsByProtocol,https://api-v1.mymerlin.io/api/merlin/public/userDeFiPositions/protocol/0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50?chain=avax&protocol=avax_gmx,#N/A,,,
getUserDeFiBalancesByChain,https://api-v1.mymerlin.io/api/merlin/public/balances/protocol/0x09CF915e195aF33FA7B932C253352Ae9FBdB0106?chain=eth,#N/A,,,
getDailyAnalyticsForUniswapPosition,https://api-v1.mymerlin.io/api/merlin/public/lpTokenAnalyticsByDay?position=0x3764d79db51726e900a1380055f469eb6e2a7fd3:0xc5be99a02c6857f9eac67bbce58df5572498f40c:UNISWAP_V2,#N/A,,,
getSnapshotAnalyticsForAllUniswapPositions,https://api-v1.mymerlin.io/api/merlin/public/uniswapLpTokenAnalytics/0x3764d79db51726e900a1380055f469eb6e2a7fd3,#N/A,https://api-v1.mymerlin.io/api/merlin/public/uniswapLpTokenAnalytics/0x3764d79db51726e900a1380055f469eb6e2a7fd3?timestamp=1661753926,#N/A,
getUserTxHistoryBy100,https://api-v1.mymerlin.io/api/merlin/public/v2/userTx/history/all/extended/0x4f2083f5fbede34c2714affb3105539775f7fe64,#N/A,,,
getUserTxHistoryBy20,https://api-v1.mymerlin.io/api/merlin/public/v2/userTx/history/all/extended/0x4f2083f5fbede34c2714affb3105539775f7fe64?startTime=1745309427,#N/A,,,
getUserTxHistoryByChainBy100,https://api-v1.mymerlin.io/api/merlin/public/v2/userTx/history/chain/extended/0x8e9741f27b21d6b3d5791b5566a880ecf5a1f21e?chain=eth,#N/A,https://api-v1.mymerlin.io/api/merlin/public/v2/userTx/history/chain/extended/0x8e9741f27b21d6b3d5791b5566a880ecf5a1f21e?startTime=1704514055&chain=eth,#N/A,
getUserTxHistoryByChainRawBy400,https://api-v1.mymerlin.io/api/merlin/public/v2/userTx/history/chain/rawlabel/0x8e9741f27b21d6b3d5791b5566a880ecf5a1f21e?chain=eth,#N/A,https://api-v1.mymerlin.io/api/merlin/public/v2/userTx/history/chain/rawlabel/0x8e9741f27b21d6b3d5791b5566a880ecf5a1f21e?startTime=1646735510&chain=eth,#N/A,
